n whisker_min box_min median box_high whisker_high
190 3921 4020 4655 4876 5031 
191 3960 4455 4765 4863 5493 
192 3956 4285 4841 4875 7260 
193 3952 3971 5029 5188 6809 
194 4022 4371 4608 5548 8037 
195 4127 4364 4454 4761 5508 
196 3898 4099 4124 5646 6456 
197 4157 4460 5115 5363 6084 
198 4026 4466 4548 5462 6957 
199 4026 4167 4228 4779 5230 
200 4071 4189 5132 5273 5573 
201 4858 4927 5247 5504 6815 
202 4162 5293 5295 6020 6556 
203 4419 4463 4496 5470 5583 
204 4369 4597 5107 5606 5629 
205 4174 4891 5411 5574 5901 
206 4227 4521 5187 5453 5935 
207 4355 4763 4980 5331 5937 
208 4617 5333 5632 5839 37321 
209 4374 4554 4755 5658 5865 
210 4480 4652 5350 5885 14340 
211 4623 4852 4882 5357 5684 
212 5054 5141 5611 5785 6752 
213 4706 4839 4860 5507 7359 
214 4203 5254 5840 5847 5949 
215 4371 4443 4466 5747 5831 
216 4549 4554 4711 6133 6832 
217 4116 4525 4582 5705 6296 
218 4481 4551 5126 5971 7926 
219 4703 5202 5228 5693 7186 
220 4477 6005 6111 7881 9299 
221 4548 4607 5619 5719 7036 
222 4315 4652 5079 6121 7193 
223 4619 6003 6206 6511 9065 
224 4672 4711 4828 5906 6421 
225 4624 4886 5678 5883 6312 
226 4623 4762 4823 6746 7282 
227 4880 4888 5627 6107 6231 
228 4496 5461 5916 6625 7114 
229 4572 5079 5662 6446 6488 
230 5556 6197 6238 6247 6886 
231 4739 4987 5829 6897 7938 
232 4753 6304 6830 7583 7777 
233 4663 4694 6707 6963 7714 
234 5031 5156 6523 7141 7676 
235 4681 5162 5946 6186 6193 
236 4896 5088 5813 6514 6603 
237 4962 5418 5606 6613 8003 
238 4644 4825 5099 6736 6930 
239 5117 5139 5287 8114 8940 
240 5040 6289 6528 6647 6651 
241 5074 5670 5718 6671 7085 
242 4964 5200 5726 6764 7049 
243 4842 4889 5173 6417 7509 
244 5202 5370 6235 6335 6550 
245 4943 6135 6283 6537 7231 
246 5200 5233 6843 7887 9240 
247 6628 6686 6697 6706 7284 
248 4899 5113 6285 6471 6532 
249 5154 5796 6331 6637 7834 
250 5082 5409 5615 6658 7956 
251 5024 5869 6719 7474 7758 
252 5166 5170 5988 6731 6750 
253 5444 5530 5594 6651 8764 
254 5044 5817 6085 6718 6729 
255 5451 6613 6768 6929 7391 
256 5557 5940 6535 6672 7351 
257 5421 5481 6143 6371 7846 
258 5663 5845 6204 6852 12134 
259 5289 5422 5458 7386 8503 
260 5230 6069 6293 6909 7963 
261 5575 5608 6344 7141 9965 
262 5164 5782 6578 8944 9353 
263 5495 5509 5889 6852 10261 
264 5928 6295 6306 7078 8539 
265 5558 5647 5648 7282 7408 
266 6339 6580 6796 7165 7622 
267 5364 5654 5755 8563 9358 
268 5659 5841 6970 8171 12231 
269 5330 6540 6636 7144 7416 
270 5754 6155 6859 7082 7808 
271 5732 5750 6737 7369 11409 
272 5773 6339 8148 8475 9002 
273 5812 6087 6940 7270 7791 
274 5462 5746 6179 7158 7973 
275 5887 6590 7127 7353 8204 
276 5626 6367 6420 6714 9042 
277 6037 6039 6154 7973 8650 
278 5617 5913 6856 7797 9060 
279 5962 6211 6296 8061 8135 
280 5738 6242 6954 7920 9495 
281 5795 5832 6393 7754 9319 
282 5992 6037 6526 6963 7852 
283 5688 6904 8450 8716 10541 
